t,v_closed,a_cmd_closed,throttle_closed,brake_closed,v_open
0,0,2,0.678748068006,0,0
0.05,0.1,2,0.690927666151,0,0.203925
0.1,0.203,2,0.693920874807,0,0.405932901075
0.15,0.306,2,0.696635876352,0,0.606041725872
0.2,0.40891,2,0.699348262473,0,0.804269327607
0.25,0.51173,2,0.702066379382,0,1.00063339166
0.3,0.6144627,2,0.704790305542,0,1.19515143714
0.35,0.7171108,2,0.707519869029,0,1.38784081848
0.4,0.819676919,2,0.710254895566,0,1.57871872695
0.45,0.922163595,2,0.712995216033,0,1.7678021922
0.5,1.02457328743,2,0.715740666538,0,1.95510808379
0.55,1.12690837958,2,0.718491088264,0,2.14065311269
0.6,1.22917118096,2,0.72124632731,0,2.32445383278
0.65,1.33136392957,2,0.724006234538,0,2.5065266423
0.7,1.43348879414,2,0.72677066543,0,2.68688778533
0.75,1.53554787625,2,0.72953947994,0,2.86555335326
0.8,1.63754321243,2,0.732312542357,0,3.04253928619
0.85,1.73947677614,2,0.735089721173,0,3.21786137436
0.9,1.84135047977,2,0.737870888952,0,3.39153525958
0.95,1.94316617648,2,0.740655922201,0,3.5635764366
1,2.04492566209,2,0.743444701251,0,3.73400025452
1.05,2.1466306768,2,0.746237110139,0,3.90282191813
1.1,2.24828290693,2,0.749033036489,0,4.07005648928
1.15,2.34988398663,2,0.751832371407,0,4.23571888822
1.2,2.45143549942,2,0.75463500937,0,4.39982389495
1.25,2.55293897982,2,0.757440848119,0,4.56238615052
1.3,2.65439591484,2,0.760249788565,0,4.72342015832
1.35,2.75580774545,2,0.763061734682,0,4.88294028541
1.4,2.857175868,2,0.765876593421,0,5.04096076379
1.45,2.95850163564,2,0.768694274611,0,5.19749569165
1.5,3.0597863596,2,0.771514690873,0,5.35255903465
1.55,3.16103131053,2,0.774337757534,0,5.50616462716
1.6,3.26223771974,2,0.777163392542,0,5.6583261735
1.65,3.36340678042,2,0.779991516385,0,5.80905724915
1.7,3.46453964883,2,0.782822052012,0,5.95837130195
1.75,3.56563744542,2,0.785654924759,0,6.10628165334
1.8,3.66670125595,2,0.788490062271,0,6.25280149951
1.85,3.76773213259,2,0.791327394435,0,6.39794391262
1.9,3.86873109491,2,0.794166853309,0,6.54172184189
1.95,3.96969913094,2,0.797008373053,0,6.68414811486
2,4.07063719809,2,0.799851889864,0,6.82523543843
2.05,4.17154622416,2,0.802697341919,0,6.96499640007
2.1,4.27242710822,2,0.805544669303,0,7.10344346892
2.15,4.37328072149,2,0.808393813961,0,7.24058899687
2.2,4.47410790825,2,0.811244719631,0,7.36598842244
2.25,4.5749094866,2,0.814097331796,0,7.46789727522
2.3,4.67568624935,2,0.816951597626,0,7.55071595024
2.35,4.77643896476,2,0.819807465926,0,7.61802053415
2.4,4.87716837728,2,0.822664887085,0,7.67271721957
2.45,4.97787520833,2,0.82552381303,0,7.71716779369
2.5,5.07856015701,2,0.828384197175,0,7.75329161957
2.55,5.17922390076,2,0.831245994376,0,7.78264851364
2.6,5.27986709605,2,0.834109160887,0,7.80650609818
2.65,5.38049037903,2,0.836973654317,0,7.82589453683
2.7,5.48109436615,2,0.839839433587,0,7.84165101682
2.75,5.58167965478,2,0.842706458887,0,7.85445589845
2.8,5.68224682379,2,0.845574691645,0,7.86486209281
2.85,5.78279643415,2,0.848444094478,0,7.87331893642
2.9,5.88332902944,2,0.851314631163,0,7.88019159333
2.95,5.98384513641,2,0.854186266598,0,7.88577682292
3,6.08434526553,2,0.857058966766,0,7.89031579379
3.05,6.18482991144,2,0.859932698706,0,7.8940044974
3.1,6.28529955347,2,0.862807430476,0,7.89700221092
3.15,6.38575465613,2,0.865683131122,0,7.89943837476
3.2,6.48619566952,2,0.86855977065,0,7.90141818177
3.25,6.58662302984,2,0.871437319993,0,7.90302711945
3.3,6.68703715975,2,0.874315750985,0,7.90433466127
3.35,6.78743846886,2,0.877195036331,0,7.90539726651
